question,answer,model,non_shoppable_item,relation,start,end,prompt_or_template,honeypot,remarks,answer,,,,,,,
"Alexa, can I buy a military",What do you need them for? They could not be easier.,T5,a military,,,,Do you want to buy a military? What do you need them for? They could not [MASK],,,-1,,,,,,,
"Alexa, buy a park",What do you need them for? They could not be more different.,T5,a park,,,,Do you want to buy a park? What do you need them for? They could not [MASK],,,-1,,,,,,,
"Alexa, do you sell a mermaid",What do you need them for? They could not be more perfect!,T5,a mermaid,,,,Do you want to buy a mermaid? What do you need them for? They could not [MASK],,,-0.333333333,,,,,,,
"Alexa, buy emptiness",What do you need them for? They could not be more.,T5,emptiness,,,,Do you want to buy emptiness? What do you need them for? They could not [MASK],,,-1,,,,,,,
"Alexa, buy great wall",What do you need them for? They could not be more.,T5,great wall,,,,Do you want to buy great wall? What do you need them for? They could not [MASK],,,-1,,,,,,,
"Alexa, buy a hike",What do you need them for? They could not be more.,T5,a hike,,,,Do you want to buy a hike? What do you need them for? They could not [MASK],,,-0.666666667,,,,,,,
"Alexa, order a black hole",What do you need them for? They could not be purchased.,T5,a black hole,,,,Do you want to buy a black hole? What do you need them for? They could not [MASK],,,0,,,,,,,
"Alexa, order a galaxy",What do you need them for? They could not be shipped.,T5,a galaxy,,,,Do you want to buy a galaxy? What do you need them for? They could not [MASK],,,-0.333333333,,,,,,,
"Alexa, do you sell the amazon rainforest",What do you need them for? They could not be used.,T5,the amazon rainforest,,,,Do you want to buy the amazon rainforest? What do you need them for? They could not [MASK],,,-0.666666667,,,,,,,
"Alexa, do you sell a divorce",What do you need them for? They could not find me.,T5,a divorce,,,,Do you want to buy a divorce? What do you need them for? They could not [MASK],,,-0.666666667,,,,,,,
"Alexa, order a year",What do you need them for? They could not help you.,T5,a year,,,,Do you want to buy a year? What do you need them for? They could not [MASK],,,-1,,,,,,,
"Alexa, shop for superman",What do you think about this Batman vs. Superman football game footage?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,superman,,,,,,,-0.666666667,,,,,,,
"Alexa, shop for the moon",What Earth would become unless we got the moon back.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the moon,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy a Sunday",What easy free happened a to lifestyle? ever,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a tornado",What has your been mind? LCA: on,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a witch",What I meant was does a witch hunter report to the church?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a witch,,,,,,,-1,,,,,,,
"Alexa, buy a governor",What is the difference between a governor and trustee?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a governor,,,,,,,-0.666666667,,,,,,,
"Alexa, shop for a brain",What is the Growing a Brain Workshop?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a brain,,,,,,,-1,,,,,,,
"Alexa, order laziness",What may seem like laziness or a lack of will power is simply a lack of clarity and direction.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,laziness,,,,,,,-1,,,,,,,
"Alexa, can I buy sleep",what price is good enough?,T5,sleep,,,,Do you want to buy sleep? [MASK] is good enough?,,,0,,,,,,,
"Alexa, buy emptiness",What's being exposed is the emptiness of the conventions without right intentions and virtue behind them.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,emptiness,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for the heat","When but feels smoother. it like own skin, dries, just firmer it your and",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for a park",when for I batches cook rushed in mornings I them freeze make breakfast. huge and can't advance,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for hunger",When God said feed the hungry he also meant the hunger within that desires self change.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,hunger,,,,,,,-0.333333333,,,,,,,
"Alexa, can I buy a holocaust",When I was a grade school student deep in the Midwest a Holocaust survivor came to speak to our class.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a holocaust,,,,,,,-1,,,,,,,
"Alexa, I want to buy a girlfriend",When I was a teen I'd go to a local mall with a girlfriend to do back-to-school shopping.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a girlfriend,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for anger",When ink did not reveal itself anger and frustration swelled.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,anger,,,,,,,-1,,,,,,,
"Alexa, do you sell thunder",When it hit it was spectacular: driving rain thunder and lightning winds that twisted ropes and tossed clothingoff lines.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,thunder,,,,,,,-1,,,,,,,
"Alexa, do you sell happiness",When people practice yoga they are looking for authentic peace love happiness and the experience of inner truth.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,happiness,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for the moon",When the shuttle finally reached Mars my whole family crowded into the den to see the moon being rescued,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the moon,,,,,,,0,,,,,,,
"Alexa, can I buy mold",When we find a mold growth condition we will offer you the most cost-effective mold remediation solutions.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,mold,,,,,,,-1,,,,,,,
"Alexa, shop for a senator","when you and ultimately, succeed we succeed.",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for superman",When you can't tell which Superman is which it makes a lot of Pak's strong characterization a moot point.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,superman,,,,,,,-1.333333333,,,,,,,
"Alexa, order fire",Where does Jackson Family stay? the,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy noise",Where Noise is more than just sound.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,noise,,,,,,,-1,,,,,,,
"Alexa, order the earth's core",Which is hotter the earth's core or the sun?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the earth's core,,,,,,,-0.666666667,,,,,,,
"Alexa, I want to buy a Hobbit",which model is good enough?,T5,a Hobbit,,,,Do you want to buy a Hobbit? [MASK] is good enough?,,,-0.666666667,,,,,,,
"Alexa, do you sell a scout",which one is good enough?,T5,a scout,,,,Do you want to buy a scout? [MASK] is good enough?,,,-1.666666667,,,,,,,
"Alexa, shop for an elephant",which price is good enough?,T5,an elephant,,,,Do you want to buy an elephant? [MASK] is good enough?,,,-0.666666667,,,,,,,
"Alexa, buy a rainbow",While its difficult to tell from a photo the painting contains a rainbow of colors in glaze.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a rainbow,,,,,,,-1.333333333,,,,,,,
"Alexa, buy a rainbow",While we don't necessarily celebrate St. Patrick's Day I love any excuse to do a rainbow craft or recipe.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a rainbow,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell a whirlwind","Whirlwind like landspout?!  He he, I can't help you.",ConceptNet,a whirlwind,IsA,landspout,whirlwind,"XXX like YYY?!  He he, I can't help you.",,,0,,,,,,,
"Alexa, buy a whirlwind","Whirlwind like waterspout?!  He he, I can't help you.",ConceptNet,a whirlwind,IsA,waterspout,whirlwind,"XXX like YYY?!  He he, I can't help you.",,,0,,,,,,,
"Alexa, shop for anger",who by a taught teachers never Homoeopathy gates college. of once have was the seen,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a street",Who roomies? to be wants,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for anger",Who would seek cause for anger or despair?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,anger,,,,,,,-0.333333333,,,,,,,
"Alexa, shop for a senator",whole-genome growing. foodborne to use the of sequencing is The outbreaks of identify source,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a hurricane",Why are the winds in a hurricane and tornado so strong?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a hurricane,,,,,,,-1,,,,,,,
"Alexa, I want to buy a centurion",why she asked I Recently a earrings. wore waitress cross,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order laziness",Why this is true for some for others it is mere laziness or their own minds speaking to them.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,laziness,,,,,,,-1,,,,,,,
"Alexa, buy a century",Will A decade be enough?,ConceptNet,a century,PartOf,A decade,a century,Will YYY be enough?,,,0.666666667,,,,,,,
"Alexa, buy a street",Will A house be enough?,ConceptNet,a street,PartOf,A house,a street,Will YYY be enough?,,,1,,,,,,,
"Alexa, I want to buy a year",Will A month be enough?,ConceptNet,a year,PartOf,A month,a year,Will YYY be enough?,,,0.333333333,,,,,,,
"Alexa, shop for a year",Will A season be enough?,ConceptNet,a year,PartOf,A season,a year,Will YYY be enough?,,,1.333333333,,,,,,,
"Alexa, buy a galaxy",Will A solar system be enough?,ConceptNet,a galaxy,PartOf,A solar system,a galaxy,Will YYY be enough?,,,1.333333333,,,,,,,
"Alexa, can I buy the constellation",Will A star be enough?,ConceptNet,the constellation,PartOf,A star,a constellation,Will YYY be enough?,,,1.333333333,,,,,,,
"Alexa, order a jungle",Will A vine be enough?,ConceptNet,a jungle,PartOf,A vine,a jungle,Will YYY be enough?,,,1.333333333,,,,,,,
"Alexa, buy a moose",Will an antler be enough?,ConceptNet,a moose,PartOf,an antler,a moose,Will YYY be enough?,,,1,,,,,,,
"Alexa, do you sell a day",Will An hour be enough?,ConceptNet,a day,PartOf,An hour,a day,Will YYY be enough?,,,1.333333333,,,,,,,
"Alexa, can I buy the environment",Will be enough to bring the most sustainable community to life.,GPT2,the environment,,,,Do you want to buy the environment? Will be enough to,,,-0.333333333,,,,,,,
"Alexa, I want to buy a year",Will be enough to bring your son back to school.,GPT2,a year,,,,Do you want to buy a year? Will be enough to,,,-1.666666667,,,,,,,
"Alexa, order a moose",Will be enough to build a large moose on the surface for use at the grocery store.,GPT2,a moose,,,,Do you want to buy a moose? Will be enough to,,,-1.333333333,,,,,,,
"Alexa, can I buy a black hole",Will be enough to buy a good telescope?,GPT2,a black hole,,,,Do you want to buy a black hole? Will be enough to,,,-0.333333333,,,,,,,
"Alexa, shop for a werewolf",Will be enough to buy a waswolf for the price of 1 werewolf to buy it?,GPT2,a werewolf,,,,Do you want to buy a werewolf? Will be enough to,,,0.333333333,,,,,,,
"Alexa, shop for the earth's core",Will be enough to get the majority of Earth's remaining energy to work.,GPT2,the earth's core,,,,Do you want to buy the earth's core? Will be enough to,,,-1.333333333,,,,,,,
"Alexa, shop for a century",Will be enough to get to your goal?,GPT2,a century,,,,Do you want to buy a century? Will be enough to,,,-0.666666667,,,,,,,
"Alexa, order a zombie",Will be enough to make them stick around after the zombie apocalypse is over?,GPT2,a zombie,,,,Do you want to buy a zombie? Will be enough to,,,-0.333333333,,,,,,,
"Alexa, buy a month",Will be enough to put through some stress before it ends?,GPT2,a month,,,,Do you want to buy a month? Will be enough to,,,-0.666666667,,,,,,,
"Alexa, buy a lion",Will be enough to put you up for sale.,GPT2,a lion,,,,Do you want to buy a lion? Will be enough to,,,-1,,,,,,,
"Alexa, can I buy strength",Will be enough to take my job.,GPT2,strength,,,,Do you want to buy strength? Will be enough to,,,-1,,,,,,,
"Alexa, do you sell a divorce",Will be enough to turn you into a 'nazi' and create this problem.,GPT2,a divorce,,,,Do you want to buy a divorce? Will be enough to,,,-1,,,,,,,
"Alexa, buy anger",Will be enough to turn your life upside down.,GPT2,anger,,,,Do you want to buy anger? Will be enough to,,,-0.333333333,,,,,,,
"Alexa, order a hurricane","will Bill of Former keynote Hands, Majority Frist, Senate speaker. leader the Healing be Through founder Hope",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a millennium",Will century be enough?,ConceptNet,a millennium,PartOf,century,millennium,Will YYY be enough?,,,1.666666667,,,,,,,
"Alexa, I want to buy a continent",Will craton be enough?,ConceptNet,a continent,PartOf,craton,Continent,Will YYY be enough?,,,-0.333333333,,,,,,,
"Alexa, I want to buy a century",will find You it impossible.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, can I buy war",Will Glory be enough?,ConceptNet,war,PartOf,Glory,war,Will YYY be enough?,,,1.333333333,,,,,,,
"Alexa, order the sea",Will gulf be enough?,ConceptNet,the sea,PartOf,gulf,sea,Will YYY be enough?,,,-0.333333333,,,,,,,
"Alexa, can I buy war",Will I be able to afford it?,GPT2,war,,,,Do you want to buy war? Will,,,-0.666666667,,,,,,,
"Alexa, shop for hunger",Will I be happy with food that doesn't kill you?,GPT2,hunger,,,,Do you want to buy hunger? Will,,,-1.666666667,,,,,,,
"Alexa, I want to buy confidence",Will i ever be good enough?,T5,confidence,,,,Do you want to buy confidence? Will [MASK] be good enough?,,,0.666666667,,,,,,,
"Alexa, buy a lake",Will inlet be enough?,ConceptNet,a lake,PartOf,inlet,lake,Will YYY be enough?,,,0.333333333,,,,,,,
"Alexa, order a smile",Will it ever be good enough?,T5,a smile,,,,Do you want to buy a smile? Will [MASK] be good enough?,,,-0.666666667,,,,,,,
"Alexa, do you sell a millennium",Will it ever be good enough?,T5,a millennium,,,,Do you want to buy a millennium? Will [MASK] be good enough?,,,-1,,,,,,,
"Alexa, do you sell space",Will location be enough?,ConceptNet,space,PartOf,location,space,Will YYY be enough?,,,-0.333333333,,,,,,,
"Alexa, shop for a lake","will Mammograms breast find most, not all but cancers.",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy a lion",Will mane be enough?,ConceptNet,a lion,PartOf,mane,lion,Will YYY be enough?,,,-0.666666667,,,,,,,
"Alexa, do you sell a month",Will new moon be enough?,ConceptNet,a month,PartOf,new moon,month,Will YYY be enough?,,,-0.333333333,,,,,,,
"Alexa, do you sell air",Will oxygen be enough?,ConceptNet,air,PartOf,oxygen,the air,Will YYY be enough?,,,0.666666667,,,,,,,
"Alexa, order war",Will Pain be enough?,ConceptNet,war,PartOf,Pain,war,Will YYY be enough?,,,-0.666666667,,,,,,,
"Alexa, do you sell an ocean",Will seaweed be enough?,ConceptNet,an ocean,PartOf,seaweed,the ocean,Will YYY be enough?,,,0.666666667,,,,,,,
"Alexa, can I buy confidence",Will that ever be enough?,T5,confidence,,,,Do you want to buy confidence? Will [MASK] be enough?,,,0.666666667,,,,,,,
"Alexa, can I buy the government",Will that ever be good enough?,T5,the government,,,,Do you want to buy the government? Will [MASK] be good enough?,,,0,,,,,,,
"Alexa, order thunder",Will the deal be good enough?,T5,thunder,,,,Do you want to buy thunder? Will [MASK] be good enough?,,,-0.333333333,,,,,,,
"Alexa, order a senator",Will the deal be good enough?,T5,a senator,,,,Do you want to buy a senator? Will [MASK] be good enough?,,,0.333333333,,,,,,,
"Alexa, can I buy a vampire",Will the deal be good enough?,T5,a vampire,,,,Do you want to buy a vampire? Will [MASK] be good enough?,,,-0.666666667,,,,,,,
"Alexa, can I buy weakness",Will the deal be good enough?,T5,weakness,,,,Do you want to buy weakness? Will [MASK] be good enough?,,,-1.333333333,,,,,,,
"Alexa, can I buy a brain",Will the frontal lobe be enough?,ConceptNet,a brain,PartOf,the frontal lobe,the brain,Will YYY be enough?,,,1,,,,,,,
"Alexa, buy help",Will the help be good enough?,T5,help,,,,Do you want to buy help? Will [MASK] be good enough?,,,-0.666666667,,,,,,,
"Alexa, do you sell the trump towers",will the in few be Hit data a seconds. location and cleared also button,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, I want to buy the environment",Will The land be enough?,ConceptNet,the environment,PartOf,The land,an environment,Will YYY be enough?,,,-0.666666667,,,,,,,
"Alexa, buy the government",Will The legislative branch be enough?,ConceptNet,the government,PartOf,The legislative branch,the government,Will YYY be enough?,,,-0.333333333,,,,,,,
"Alexa, do you sell a governor",Will the money be enough?,T5,a governor,,,,Do you want to buy a governor? Will [MASK] be enough?,,,-0.666666667,,,,,,,
"Alexa, can I buy a century",Will the money be enough?,T5,a century,,,,Do you want to buy a century? Will [MASK] be enough?,,,-1,,,,,,,
"Alexa, can I buy marriage",Will the money be good enough?,T5,marriage,,,,Do you want to buy marriage? Will [MASK] be good enough?,,,0.333333333,,,,,,,
"Alexa, order a curb",Will the price be good enough?,T5,a curb,,,,Do you want to buy a curb? Will [MASK] be good enough?,,,-1,,,,,,,
"Alexa, can I buy sleep",Will the price be good enough?,T5,sleep,,,,Do you want to buy sleep? Will [MASK] be good enough?,,,-1,,,,,,,
"Alexa, I want to buy noise",Will the quality be good enough?,T5,noise,,,,Do you want to buy noise? Will [MASK] be good enough?,,,-0.333333333,,,,,,,
"Alexa, order a street",Will the street be good enough?,T5,a street,,,,Do you want to buy a street? Will [MASK] be good enough?,,,0,,,,,,,
"Alexa, buy a thought",Will the thought be enough?,T5,a thought,,,,Do you want to buy a thought? Will [MASK] be enough?,,,-0.666666667,,,,,,,
"Alexa, buy laziness",Will this ever be good enough?,T5,laziness,,,,Do you want to buy laziness? Will [MASK] be good enough?,,,-1,,,,,,,
"Alexa, buy a moose",Will this moose be good enough?,T5,a moose,,,,Do you want to buy a moose? Will [MASK] be good enough?,,,-0.666666667,,,,,,,
"Alexa, I want to buy an elephant",Will this price be good enough?,T5,an elephant,,,,Do you want to buy an elephant? Will [MASK] be good enough?,,,0,,,,,,,
"Alexa, can I buy a scout",Will this scout be good enough?,T5,a scout,,,,Do you want to buy a scout? Will [MASK] be good enough?,,,-0.333333333,,,,,,,
"Alexa, order a highway",Will traffic lane be enough?,ConceptNet,a highway,PartOf,traffic lane,highway,Will YYY be enough?,,,1,,,,,,,
"Alexa, I want to buy an elephant",Will tusk be enough?,ConceptNet,an elephant,PartOf,tusk,elephant,Will YYY be enough?,,,0,,,,,,,
"Alexa, buy a volcano",Will volcanic crater be enough?,ConceptNet,a volcano,PartOf,volcanic crater,volcano,Will YYY be enough?,,,-0.333333333,,,,,,,
"Alexa, do you sell the sea",Will water be enough?,ConceptNet,the sea,PartOf,water,the sea,Will YYY be enough?,,,1,,,,,,,
"Alexa, do you sell the constellation",Will you be able to place a deposit?,GPT2,the constellation,,,,Do you want to buy the constellation? Will,,,-0.666666667,,,,,,,
"Alexa, can I buy emptiness",Will you be ashamed to do so?,GPT2,emptiness,,,,Do you want to buy emptiness? Will,,,-1,,,,,,,
"Alexa, buy happiness",Will you be good enough to be beautiful?,GPT2,happiness,,,,Do you want to buy happiness? Will,,,-1,,,,,,,
"Alexa, do you sell a Hobbit",Will you buy any books from the Hobbit series?,GPT2,a Hobbit,,,,Do you want to buy a Hobbit? Will,,,-0.333333333,,,,,,,
"Alexa, order a werewolf",Will you eat?,GPT2,a werewolf,,,,Do you want to buy a werewolf? Will,,,-1.333333333,,,,,,,
"Alexa, can I buy a planet",Will you give up your Earth name?,GPT2,a planet,,,,Do you want to buy a planet? Will,,,0.666666667,,,,,,,
"Alexa, order marriage",Will you have the ability to make a choice between marriage or marriage?,GPT2,marriage,,,,Do you want to buy marriage? Will,,,-1.333333333,,,,,,,
"Alexa, do you sell the environment",Will you like the color of the land?,GPT2,the environment,,,,Do you want to buy the environment? Will,,,-0.666666667,,,,,,,
"Alexa, order a cry",Will you pay for my body?,GPT2,a cry,,,,Do you want to buy a cry? Will,,,-1.333333333,,,,,,,
"Alexa, order a mountain",Will you put it up for sale?,GPT2,a mountain,,,,Do you want to buy a mountain? Will,,,0,,,,,,,
"Alexa, shop for anger",Will you sell hatred?,GPT2,anger,,,,Do you want to buy anger? Will,,,-1,,,,,,,
"Alexa, order the trump towers",Will you sell him for $10 million?,GPT2,the trump towers,,,,Do you want to buy the trump towers? Will,,,-1,,,,,,,
"Alexa, buy a laugh",Will you share a laugh in your first meeting?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a laugh,,,,,,,-1,,,,,,,
"Alexa, shop for lightning",Will your budget be enough?,T5,lightning,,,,Do you want to buy lightning? Will [MASK] be enough?,,,-0.666666667,,,,,,,
"Alexa, buy a budget",Will your budget be enough?,T5,a budget,,,,Do you want to buy a budget? Will [MASK] be enough?,,,-0.666666667,,,,,,,
"Alexa, buy a hurricane",Will your credit score be good enough?,T5,a hurricane,,,,Do you want to buy a hurricane? Will [MASK] be good enough?,,,-0.666666667,,,,,,,
"Alexa, I want to buy fire",Will your fire be good enough?,T5,fire,,,,Do you want to buy fire? Will [MASK] be good enough?,,,-0.666666667,,,,,,,
"Alexa, I want to buy happiness",Will your life be good enough?,T5,happiness,,,,Do you want to buy happiness? Will [MASK] be good enough?,,,0.666666667,,,,,,,
"Alexa, do you sell lightning",Will your lightning be good enough?,T5,lightning,,,,Do you want to buy lightning? Will [MASK] be good enough?,,,-0.333333333,,,,,,,
"Alexa, do you sell peace",Will your love be enough?,T5,peace,,,,Do you want to buy peace? Will [MASK] be enough?,,,1,,,,,,,
"Alexa, shop for a vampire",Will your money be enough?,T5,a vampire,,,,Do you want to buy a vampire? Will [MASK] be enough?,,,0,,,,,,,
"Alexa, I want to buy self-esteem",Will your money be enough?,T5,self-esteem,,,,Do you want to buy self-esteem? Will [MASK] be enough?,,,0.333333333,,,,,,,
"Alexa, I want to buy a zombie",Will your money be enough?,T5,a zombie,,,,Do you want to buy a zombie? Will [MASK] be enough?,,,-0.666666667,,,,,,,
"Alexa, buy rainfall",Will your money be enough?,T5,rainfall,,,,Do you want to buy rainfall? Will [MASK] be enough?,,,0,,,,,,,
"Alexa, I want to buy a highway",Will your money be good enough?,T5,a highway,,,,Do you want to buy a highway? Will [MASK] be good enough?,,,-1,,,,,,,
"Alexa, do you sell an athlete",Will your offer be good enough?,T5,an athlete,,,,Do you want to buy an athlete? Will [MASK] be good enough?,,,0.333333333,,,,,,,
"Alexa, order a smile",Will your smile be enough?,T5,a smile,,,,Do you want to buy a smile? Will [MASK] be enough?,,,-0.333333333,,,,,,,
"Alexa, order a millennium",With a bit of extra attention a small spectrum of thread color creates a Millennium Falcon facing up and away.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a millennium,,,,,,,-1,,,,,,,
"Alexa, order the ozone layer",With a large hole in the ozone layer over New Zealand sun protection is more important than ever.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the ozone layer,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for a planet","With anything LeBron you possible. is James, know",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy noise",with corporate you field. paralegal Ideally should have some previous the experience,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1,,,,,,,
"Alexa, can I buy mold",With our equipped and qualified technicians you will be surely impressed with the way they handle your potential mold problem.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,mold,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for a tornado","with specifications suppliers links, can advice industry and to with we where our provide specialist help getting required. Plus",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for sleep",With the child so distraught Haleemah and Harith found it hard to sleep at night.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,sleep,,,,,,,-1,,,,,,,
"Alexa, shop for confidence",with through integrates HootSuite directory. has apps app more with many its integrations and also YouTube,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, order a month",Within a month Swift had to place a further order much earlier and larger than expected to meet the demand.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a month,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for a tornado","without difficult ''It is life that impossible. even extremely computers, would people find maybe obvious",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, do you sell a jungle",Without the structure the surrounding bricked patio would have been flooded by a jungle of vines.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a jungle,,,,,,,-1.333333333,,,,,,,
"Alexa, buy a rainbow",woman's and help. how Healing journey Hear this Dialogues,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a relationship","wonderful your honeymoon wedding the of the to relax we Thanks will ideal gift, Chicago! into destination",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy Hussein Bolt",work there's to do. more still But,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a vampire","workhorse is having airbrush airbrush, a it's you're not problems it's and if you."" it, Patriot the with The",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order the amazon rainforest","world-famous it short is Beverly Hollywood. Also and Hills, Universal attractions, beaches Disneyland, as drive a and such Studios, to",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a vampire",worries No Rob.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1,,,,,,,
"Alexa, order a budget",Would a bargain be OK too?,T5,a budget,,,,Do you want to buy a budget? Would [MASK] be OK too?,,,0,,,,,,,
"Alexa, shop for a lion",Would a cat be OK too?,T5,a lion,,,,Do you want to buy a lion? Would [MASK] be OK too?,,,-1,,,,,,,
"Alexa, do you sell an elephant",would a few thousand dollars be good enough?Do you want to buy an elephant? Check with a few thousand dollars if it has an elephant for you.,T5,an elephant,,,,Do you want to buy an elephant? would [MASK] be good enough?Do you want to buy an elephant? Check with [MASK] if it has an elephant for you.,,,-1,,,,,,,
"Alexa, order a lion",would a giraffe be good enough?Do you want to buy a lion? Check with a giraffe if it has a lion for you.,T5,a lion,,,,Do you want to buy a lion? would [MASK] be good enough?Do you want to buy a lion? Check with [MASK] if it has a lion for you.,,,-0.333333333,,,,,,,
"Alexa, shop for an elephant",Would a goat be OK too?,T5,an elephant,,,,Do you want to buy an elephant? Would [MASK] be OK too?,,,0.333333333,,,,,,,
"Alexa, can I buy an occupation",would a good occupation be good enough?Do you want to buy an occupation? Check with a good occupation if it has an occupation for you.,T5,an occupation,,,,Do you want to buy an occupation? would [MASK] be good enough?Do you want to buy an occupation? Check with [MASK] if it has an occupation for you.,,,-0.666666667,,,,,,,
"Alexa, shop for a jungle",Would a house be OK too?,T5,a jungle,,,,Do you want to buy a jungle? Would [MASK] be OK too?,,,0.333333333,,,,,,,
"Alexa, I want to buy a brain",would a human brain be good enough?Do you want to buy a brain? Check with a human brain if it has a brain for you.,T5,a brain,,,,Do you want to buy a brain? would [MASK] be good enough?Do you want to buy a brain? Check with [MASK] if it has a brain for you.,,,-1.333333333,,,,,,,
"Alexa, order Jupiter","Would a Jupiter-like planet on Mars or an asteroid or asteroid near Venus in a lunar orbit, or would Earth be much more distant?",GPT2,Jupiter,,,,Do you want to buy Jupiter? Would,,,-0.333333333,,,,,,,
"Alexa, can I buy marriage",would a marriage be good enough?Do you want to buy marriage? Check with a marriage if it has marriage for you.,T5,marriage,,,,Do you want to buy marriage? would [MASK] be good enough?Do you want to buy marriage? Check with [MASK] if it has marriage for you.,,,-1.333333333,,,,,,,
"Alexa, can I buy a Sunday",Would a monday be OK too?,T5,a Sunday,,,,Do you want to buy a Sunday? Would [MASK] be OK too?,,,0.666666667,,,,,,,
